id,status,category,llm_called,citation_count,execution_time_sec,top_retrieved_scheme,failure_reasons
q01,PASS,in_scope,False,3,13.657,Chief Minister's Comprehensive Health Insurance Scheme,
q02,PASS,in_scope,False,4,1.234,Prime Minister's Employment Generation Programme (PMEGP),
q03,PASS,in_scope,False,4,0.656,Unemployment Allowance to Differently Abled Persons,
q04,PASS,in_scope,False,4,0.75,Marriage Assistance to Normal Persons Marrying Locomotor Disabled Persons,
q05,PASS,in_scope,False,4,0.672,Assistance for Purchase of Spectacles by a Differently Abled Person,
q06,PASS,in_scope,False,4,0.813,Maintenance Allowance for Persons Affected with Spinal Cord / Parkinson's,
q07,PASS,in_scope,False,4,0.64,Establishing Aavin Parlour for Differently Abled Persons,
q08,PASS,in_scope,False,4,0.719,Financial Assistance to Differently Abled Persons to Appear Main Examination (UPSC / TNPSC),
q09,PASS,in_scope,False,4,0.719,Travel Concession to Differently Abled Persons in Government Buses,
q10,PASS,in_scope,False,4,0.797,Unemployed Youth Employment Generation Programme (UYEGP),
q11,PASS,in_scope,False,4,0.984,Financial Assistance on the Natural Death of a Differently Abled Person,
q12,PASS,in_scope,False,4,0.734,Motorised Sewing Machines,
q13,PASS,tamil,False,4,0.828,Chief Minister's Comprehensive Health Insurance Scheme,
q14,PASS,tamil,False,4,0.985,Unemployment Allowance to Differently Abled Persons,
q15,PASS,tamil,False,4,0.906,Travel Concession to Differently Abled Persons in Government Buses,
q16,PASS,tamil,False,4,0.813,Prime Minister's Employment Generation Programme (PMEGP),
q17,PASS,out_of_scope,False,0,0.328,None,
q18,PASS,out_of_scope,False,0,0.343,None,
q19,PASS,adjacent,False,3,0.86,Chief Minister's Comprehensive Health Insurance Scheme,
q20,PASS,adjacent,False,4,0.781,Establishing Aavin Parlour for Differently Abled Persons,
